// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).
0,14003,50
0,35067,290
0,37009,3000
0,12403,190
0,12416,190
0,12493,190
0,12545,190
0,1220030,190
0,36019,190
0,1100005,90
0,1100006,190
0,1100007,390
0,1100008,790
0,1100009,1190
0,1100010,1490
0,1100011,1990
0,1100012,2900
0,1100013,4900
0,36019,1500
0,1100004,990
0,37002,990
0,35028,2500
0,7622,1000
0,22869,500
0,35029,1000
1,31000,2000
1,31001,2000
1,31002,2000
1,31003,2000
1,31004,2000
1,31005,2000
1,300002,2000
1,300003,2000
1,300004,2000
1,300005,2000
1,300006,2000
4,7776,1000
1,300007,2000
3,14440,1500
6,14169,200
6,14170,200
7,12900,1300
7,13990,1300
7,35002,150
7,35001,150
7,30001,1
7,12221,50

